valid_time,source,ghi,fetched_at
2026-08-22 17:00:00,analysis,598.0,2026-09-14T15:08:27
2026-08-22 17:00:00,era5,539.0,2026-09-14T14:28:17
2026-08-23 09:00:00,analysis,254.0,2026-09-14T15:08:27
2026-08-23 09:00:00,era5,221.0,2026-09-14T14:28:17
2026-08-23 10:00:00,analysis,493.0,2026-09-14T15:08:27
2026-08-23 10:00:00,era5,448.0,2026-09-14T14:28:17
2026-08-23 11:00:00,analysis,708.0,2026-09-14T15:08:27
2026-08-23 11:00:00,era5,625.0,2026-09-14T14:28:17
2026-08-23 12:00:00,analysis,850.0,2026-09-14T15:08:27
2026-08-23 12:00:00,era5,811.0,2026-09-14T14:28:17
2026-08-23 13:00:00,analysis,923.0,2026-09-14T15:08:27
2026-08-23 13:00:00,era5,830.0,2026-09-14T14:28:17
2026-08-23 14:00:00,analysis,938.0,2026-09-14T15:08:27
2026-08-23 14:00:00,era5,893.0,2026-09-14T14:28:17
2026-08-23 15:00:00,analysis,839.0,2026-09-14T15:08:27
2026-08-23 15:00:00,era5,783.0,2026-09-14T14:28:17
2026-08-23 16:00:00,analysis,771.0,2026-09-14T15:08:27
2026-08-23 16:00:00,era5,699.0,2026-09-14T14:28:17
2026-08-23 17:00:00,analysis,574.0,2026-09-14T15:08:27
2026-08-23 17:00:00,era5,507.0,2026-09-14T14:28:17
2026-08-24 09:00:00,analysis,249.0,2026-09-14T15:08:27
2026-08-24 09:00:00,era5,230.0,2026-09-14T14:28:17
2026-08-24 10:00:00,analysis,484.0,2026-09-14T15:08:27
2026-08-24 10:00:00,era5,454.0,2026-09-14T14:28:17
2026-08-24 11:00:00,analysis,683.0,2026-09-14T15:08:27
2026-08-24 11:00:00,era5,673.0,2026-09-14T14:28:17
2026-08-24 12:00:00,analysis,816.0,2026-09-14T15:08:27
2026-08-24 12:00:00,era5,815.0,2026-09-14T14:28:17
2026-08-24 13:00:00,analysis,948.0,2026-09-14T15:08:27
2026-08-24 13:00:00,era5,887.0,2026-09-14T14:28:17
